         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       39    0.000    0.000    0.000    0.000 __init__.py:1621(_get)
       84    0.000    0.000    0.000    0.000 pyparsing.py:3390(__init__)
        1    0.000    0.000    0.009    0.009 pyparsing.py:75(<module>)
     1392    0.000    0.000    0.000    0.000 version.py:432(_parse_local_version)
       35    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
      457    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       36    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
    29/23    0.000    0.000    0.001    0.000 inspect.py:2198(_signature_from_callable)
      471    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      249    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
     2060    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       15    0.000    0.000    0.013    0.001 __init__.py:1(<module>)
    91/82    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
     1015    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
    23/10    0.000    0.000    0.000    0.000 pyparsing.py:3547(parseImpl)
       57    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      292    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2412(__init__)
   131/65    0.000    0.000    0.001    0.000 pyparsing.py:3363(copy)
      551    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       36    0.000    0.000    0.001    0.000 dataclasses.py:364(_create_fn)
      108    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       81    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      453    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      107    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
       10    0.000    0.000    0.000    0.000 inspect.py:1089(getfullargspec)
      509    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       62    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      607    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      550    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      107    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
